"No.","Time","Source","Destination","Protocol","Length","Info"
"5429","63.341141","172.16.254.128","31.13.93.3","TLSv1.2","318","Application Data"
"5430","63.341330","172.16.254.128","31.13.93.3","TLSv1.2","95","Application Data"
"5433","63.369228","31.13.93.3","172.16.254.128","TLSv1.2","99","Application Data"
"5434","63.397519","31.13.93.3","172.16.254.128","TLSv1.2","95","Application Data"
"5457","63.495017","31.13.93.3","172.16.254.128","TLSv1.2","268","Application Data, Application Data"
"5460","63.495737","31.13.93.3","172.16.254.128","TLSv1.2","1294","Application Data, Application Data"
"5463","63.500300","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"5464","63.500302","31.13.93.3","172.16.254.128","TLSv1.2","1390","Application Data[TCP segment of a reassembled PDU]"
"5467","63.530557","31.13.93.3","172.16.254.128","TLSv1.2","449","Application Data, Application Data"
"5740","67.279252","172.16.254.128","216.58.208.206","TCP","55","[TCP segment of a reassembled PDU]"
