"No.","Time","Source","Destination","Protocol","Length","Info"
"3967","38.009918","216.58.208.238","172.16.254.128","TLSv1.2","602","Application Data, Application Data"
"3970","38.010615","172.16.254.128","216.58.208.238","TLSv1.2","96","Application Data"
"3975","38.011041","172.16.254.128","216.58.208.238","TLSv1.2","100","Application Data"
"4078","38.214429","172.16.254.128","23.205.82.104","TLSv1.2","571","Client Hello"
"4086","38.221536","172.16.254.128","23.205.82.104","TLSv1.2","571","Client Hello"
"4090","38.227664","23.205.82.104","172.16.254.128","TLSv1.2","230","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4091","38.228351","172.16.254.128","23.205.82.104","TLSv1.2","129","Change Cipher Spec, Encrypted Handshake Message"
"4093","38.228985","172.16.254.128","23.205.82.104","TLSv1.2","539","Application Data"
"4096","38.246034","23.205.82.104","172.16.254.128","TLSv1.2","230","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4097","38.246608","172.16.254.128","23.205.82.104","TLSv1.2","129","Change Cipher Spec, Encrypted Handshake Message"
"4110","38.300529","23.205.82.104","172.16.254.128","TLSv1.2","679","Application Data"
"4320","38.658513","172.16.254.128","199.16.156.21","TLSv1.2","571","Client Hello"
"4361","38.806034","199.16.156.21","172.16.254.128","TLSv1.2","206","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4362","38.806421","172.16.254.128","199.16.156.21","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"4364","38.811057","172.16.254.128","199.16.156.21","TLSv1.2","111","Application Data"
"4374","38.811646","172.16.254.128","199.16.156.21","TLSv1.2","99","Application Data"
"4377","38.813740","172.16.254.128","199.16.156.21","TLSv1.2","871","Application Data"
"4439","38.951527","199.16.156.21","172.16.254.128","TLSv1.2","103","Application Data"
"4442","39.020955","172.16.254.128","216.58.208.227","TLSv1.2","271","Application Data"
"4446","39.059706","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"4447","39.059734","216.58.208.227","172.16.254.128","TLSv1.2","154","Application Data"
"4448","39.059758","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"4449","39.059780","216.58.208.227","172.16.254.128","TLSv1.2","1394","Application Data"
"4450","39.059799","216.58.208.227","172.16.254.128","TLSv1.2","1472","Application Data"
"4451","39.059815","216.58.208.227","172.16.254.128","TLSv1.2","1436","Application Data"
"4452","39.059829","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4453","39.059842","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"4454","39.059853","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4455","39.059863","216.58.208.227","172.16.254.128","TLSv1.2","1334","Application Data"
"4456","39.059871","216.58.208.227","172.16.254.128","TLSv1.2","1472","Application Data"
"4457","39.059878","216.58.208.227","172.16.254.128","TLSv1.2","962","Application Data, Application Data"
"4460","39.086157","172.16.254.128","216.58.208.227","TLSv1.2","100","Application Data"
"4462","39.103377","199.16.156.21","172.16.254.128","TLSv1.2","530","Application Data"
"4463","39.103827","199.16.156.21","172.16.254.128","TLSv1.2","156","Application Data"
"4466","39.217326","172.16.254.128","216.58.208.227","TLSv1.2","146","Application Data"
"4468","39.227449","216.58.208.227","172.16.254.128","TLSv1.2","134","Application Data"
"4471","39.228915","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4473","39.229474","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4474","39.229801","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4476","39.229889","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4477","39.231773","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4479","39.232434","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4480","39.232696","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4482","39.233416","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4483","39.233418","216.58.208.227","172.16.254.128","TLSv1.2","1472","Application Data"
"4485","39.234463","216.58.208.227","172.16.254.128","TLSv1.2","1436","Application Data"
"4486","39.235337","216.58.208.227","172.16.254.128","TLSv1.2","1012","Application Data, Application Data"
"4488","39.235848","172.16.254.128","216.58.208.227","TLSv1.2","96","Application Data"
"4489","39.236007","172.16.254.128","216.58.208.227","TLSv1.2","100","Application Data"
"4495","39.255207","172.16.254.128","216.58.208.238","TLSv1.2","182","Application Data"
"4500","39.258631","172.16.254.128","31.13.93.3","TLSv1.2","571","Client Hello"
"4506","39.261384","172.16.254.128","216.58.208.227","TLSv1.2","201","Application Data"
"4509","39.262252","172.16.254.128","31.13.93.3","TLSv1.2","571","Client Hello"
"4513","39.284995","216.58.208.227","172.16.254.128","TLSv1.2","196","Application Data"
"4514","39.285365","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"4516","39.285528","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"4517","39.285529","216.58.208.227","172.16.254.128","TLSv1.2","788","Application Data"
"4519","39.286038","216.58.208.227","172.16.254.128","TLSv1.2","100","Application Data"
"4522","39.287355","172.16.254.128","216.58.208.227","TLSv1.2","100","Application Data"
"4529","39.296263","31.13.93.3","172.16.254.128","TLSv1.2","236","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4532","39.300124","31.13.93.3","172.16.254.128","TLSv1.2","236","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4537","39.301664","172.16.254.128","31.13.93.3","TLSv1.2","170","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"4539","39.302406","172.16.254.128","31.13.93.3","TLSv1.2","170","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"4541","39.303567","172.16.254.128","216.58.208.225","TLSv1.2","571","Client Hello"
"4542","39.303764","172.16.254.128","31.13.93.3","TLSv1.2","111","Application Data"
"4544","39.304068","172.16.254.128","31.13.93.3","TLSv1.2","99","Application Data"
"4548","39.304775","172.16.254.128","31.13.93.3","TLSv1.2","766","Application Data"
"4552","39.319295","216.58.208.225","172.16.254.128","TLSv1.2","207","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"4553","39.321366","172.16.254.128","216.58.208.225","TLSv1.2","270","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"4555","39.322504","172.16.254.128","216.58.208.225","TLSv1.2","107","Application Data"
"4556","39.322648","172.16.254.128","216.58.208.225","TLSv1.2","104","Application Data"
"4558","39.322864","172.16.254.128","216.58.208.225","TLSv1.2","96","Application Data"
"4560","39.323274","172.16.254.128","216.58.208.225","TLSv1.2","414","Application Data"
"4563","39.331124","31.13.93.3","172.16.254.128","TLSv1.2","127","Application Data"
"4564","39.331125","31.13.93.3","172.16.254.128","TLSv1.2","127","Application Data"
"4571","39.340101","216.58.208.238","172.16.254.128","TLSv1.2","180","Application Data"
"4572","39.340102","216.58.208.238","172.16.254.128","TLSv1.2","1454","Application Data"
"4574","39.341380","216.58.208.238","172.16.254.128","TLSv1.2","1514","Application Data"
"4575","39.341381","216.58.208.238","172.16.254.128","TLSv1.2","1394","Application Data"
"4577","39.342039","216.58.208.238","172.16.254.128","TLSv1.2","1147","Application Data"
"4578","39.352453","216.58.208.238","172.16.254.128","TLSv1.2","272","Application Data, Application Data"
"4581","39.353384","172.16.254.128","216.58.208.238","TLSv1.2","100","Application Data"
"4583","39.365598","216.58.208.225","172.16.254.128","TLSv1.2","152","Application Data, Application Data"
"4584","39.366095","172.16.254.128","216.58.208.225","TLSv1.2","92","Application Data"
"4588","39.384735","31.13.93.3","172.16.254.128","TLSv1.2","99","Application Data"
"4590","39.385564","216.58.208.225","172.16.254.128","TLSv1.2","339","Application Data, Application Data"
"4591","39.385631","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4593","39.386748","216.58.208.225","172.16.254.128","TLSv1.2","1514","Application Data"
"4594","39.386749","216.58.208.225","172.16.254.128","TLSv1.2","1394","Application Data"
"4596","39.388161","216.58.208.225","172.16.254.128","TLSv1.2","1514","Application Data"
"4597","39.388162","216.58.208.225","172.16.254.128","TLSv1.2","1394","Application Data"
"4599","39.388523","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4600","39.388571","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4602","39.390325","216.58.208.225","172.16.254.128","TLSv1.2","1514","Application Data"
"4603","39.390326","216.58.208.225","172.16.254.128","TLSv1.2","1394","Application Data"
"4604","39.390327","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4605","39.390329","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4607","39.391414","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4608","39.392136","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4609","39.392137","216.58.208.225","172.16.254.128","TLSv1.2","1454","Application Data"
"4611","39.393356","216.58.208.225","172.16.254.128","TLSv1.2","1514","Application Data"
"4612","39.393357","216.58.208.225","172.16.254.128","TLSv1.2","1412","Application Data[TCP segment of a reassembled PDU]"
"4613","39.393358","216.58.208.225","172.16.254.128","TLSv1.2","779","Application Data"
"4615","39.394846","216.58.208.225","172.16.254.128","TLSv1.2","100","Application Data"
"4616","39.395988","172.16.254.128","216.58.208.225","TLSv1.2","100","Application Data"
"4640","39.557085","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data, Application Data"
"4641","39.557085","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data, Application Data"
"4642","39.557086","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4644","39.557087","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4645","39.557087","31.13.93.3","172.16.254.128","TLSv1.2","121","Application Data, Application Data"
"4698","39.840636","172.16.254.128","88.221.83.67","TLSv1.2","571","Client Hello"
"4702","39.841440","172.16.254.128","88.221.83.67","TLSv1.2","571","Client Hello"
"4704","39.854856","88.221.83.67","172.16.254.128","TLSv1.2","180","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4705","39.855382","172.16.254.128","88.221.83.67","TLSv1.2","101","Change Cipher Spec, Encrypted Handshake Message"
"4706","39.855919","172.16.254.128","88.221.83.67","TLSv1.2","906","Application Data"
