"Length","source-destination"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
66,"172.16.254.128,216.58.208.225"
625,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
383,"173.194.42.215,172.16.254.128"
54,"172.16.254.128,173.194.42.215"
236,"31.13.93.3,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
236,"31.13.93.3,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
60,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
170,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
170,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
571,"172.16.254.128,216.58.208.225"
111,"172.16.254.128,31.13.93.3"
60,"216.58.208.225,172.16.254.128"
99,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
936,"172.16.254.128,216.58.208.226"
60,"31.13.93.3,172.16.254.128"
766,"172.16.254.128,31.13.93.3"
60,"216.58.208.226,172.16.254.128"
60,"31.13.93.3,172.16.254.128"
492,"216.58.208.226,172.16.254.128"
207,"216.58.208.225,172.16.254.128"
270,"172.16.254.128,216.58.208.225"
60,"216.58.208.225,172.16.254.128"
107,"172.16.254.128,216.58.208.225"
104,"172.16.254.128,216.58.208.225"
60,"216.58.208.225,172.16.254.128"
96,"172.16.254.128,216.58.208.225"
60,"216.58.208.225,172.16.254.128"
414,"172.16.254.128,216.58.208.225"
60,"216.58.208.225,172.16.254.128"
60,"216.58.208.225,172.16.254.128"
127,"31.13.93.3,172.16.254.128"
127,"31.13.93.3,172.16.254.128"
449,"216.58.208.226,172.16.254.128"
60,"37.252.163.152,172.16.254.128"
54,"172.16.254.128,37.252.163.152"
1750,"172.16.254.128,37.252.163.152"
60,"37.252.163.152,172.16.254.128"
60,"37.252.163.152,172.16.254.128"
180,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1514,"216.58.208.238,172.16.254.128"
1394,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1147,"216.58.208.238,172.16.254.128"
272,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
92,"172.16.254.128,172.16.254.255"
100,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
152,"216.58.208.225,172.16.254.128"
92,"172.16.254.128,216.58.208.225"
60,"216.58.208.225,172.16.254.128"
501,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
99,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
339,"216.58.208.225,172.16.254.128"
1454,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
1514,"216.58.208.225,172.16.254.128"
1394,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
1514,"216.58.208.225,172.16.254.128"
1394,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
1454,"216.58.208.225,172.16.254.128"
1454,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
1514,"216.58.208.225,172.16.254.128"
1394,"216.58.208.225,172.16.254.128"
1454,"216.58.208.225,172.16.254.128"
1454,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
1454,"216.58.208.225,172.16.254.128"
1454,"216.58.208.225,172.16.254.128"
1454,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
1514,"216.58.208.225,172.16.254.128"
1412,"216.58.208.225,172.16.254.128"
779,"216.58.208.225,172.16.254.128"
54,"172.16.254.128,216.58.208.225"
100,"216.58.208.225,172.16.254.128"
100,"172.16.254.128,216.58.208.225"
60,"216.58.208.225,172.16.254.128"
647,"216.58.208.226,172.16.254.128"
492,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
127,"31.13.93.3,172.16.254.128"
449,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
54,"172.16.254.128,216.58.208.226"
1502,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
1406,"37.252.163.152,172.16.254.128"
647,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
54,"172.16.254.128,37.252.163.152"
54,"172.16.254.128,37.252.163.152"
1514,"31.13.93.3,172.16.254.128"
1514,"31.13.93.3,172.16.254.128"
1514,"31.13.93.3,172.16.254.128"
1514,"31.13.93.3,172.16.254.128"
1514,"31.13.93.3,172.16.254.128"
1514,"31.13.93.3,172.16.254.128"
121,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
1502,"37.252.163.152,172.16.254.128"
1514,"37.252.163.152,172.16.254.128"
411,"37.252.163.152,172.16.254.128"
54,"172.16.254.128,37.252.163.152"
1975,"172.16.254.128,37.252.163.152"
60,"37.252.163.152,172.16.254.128"
60,"37.252.163.152,172.16.254.128"
75,"172.16.254.128,8.8.8.8"
73,"172.16.254.128,8.8.8.8"
89,"172.16.254.128,8.8.8.8"
536,"172.16.254.128,173.194.42.215"
60,"173.194.42.215,172.16.254.128"
121,"8.8.8.8,172.16.254.128"
158,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,195.54.48.9"
66,"172.16.254.128,93.184.220.188"
83,"172.16.254.128,8.8.8.8"
287,"8.8.8.8,172.16.254.128"
60,"195.54.48.9,172.16.254.128"
54,"172.16.254.128,195.54.48.9"
66,"172.16.254.128,88.221.83.73"
489,"172.16.254.128,195.54.48.9"
60,"195.54.48.9,172.16.254.128"
60,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
470,"172.16.254.128,88.221.83.73"
60,"88.221.83.73,172.16.254.128"
747,"195.54.48.9,172.16.254.128"
307,"8.8.8.8,172.16.254.128"
54,"172.16.254.128,195.54.48.9"
66,"172.16.254.128,88.221.83.67"
66,"172.16.254.128,88.221.83.67"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1442,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1466,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1236,"88.221.83.73,172.16.254.128"
60,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
571,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
571,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
180,"88.221.83.67,172.16.254.128"
101,"172.16.254.128,88.221.83.67"
906,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
619,"37.252.163.152,172.16.254.128"
180,"88.221.83.67,172.16.254.128"
60,"88.221.83.67,172.16.254.128"
101,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
890,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
731,"172.16.254.128,216.58.208.238"
2777,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
60,"216.58.208.238,172.16.254.128"
60,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,195.54.48.9"
60,"195.54.48.9,172.16.254.128"
66,"172.16.254.128,195.54.48.9"
225,"172.16.254.128,216.58.208.196"
60,"216.58.208.196,172.16.254.128"
60,"195.54.48.9,172.16.254.128"
54,"172.16.254.128,195.54.48.9"
543,"172.16.254.128,195.54.48.9"
60,"195.54.48.9,172.16.254.128"
246,"216.58.208.196,172.16.254.128"
453,"172.16.254.128,216.58.208.237"
442,"216.58.208.196,172.16.254.128"
60,"216.58.208.237,172.16.254.128"
54,"172.16.254.128,216.58.208.196"
100,"172.16.254.128,216.58.208.196"
60,"216.58.208.196,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1466,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
403,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1514,"216.58.208.237,172.16.254.128"
765,"216.58.208.237,172.16.254.128"
444,"88.221.83.67,172.16.254.128"
837,"195.54.48.9,172.16.254.128"
1236,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
54,"172.16.254.128,216.58.208.237"
54,"172.16.254.128,88.221.83.67"
54,"172.16.254.128,195.54.48.9"
100,"172.16.254.128,216.58.208.237"
60,"216.58.208.237,172.16.254.128"
54,"172.16.254.128,195.54.48.9"
60,"195.54.48.9,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
619,"37.252.163.152,172.16.254.128"
54,"172.16.254.128,37.252.163.152"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1514,"88.221.83.67,172.16.254.128"
1490,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
66,"172.16.254.128,93.184.220.188"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1514,"88.221.83.67,172.16.254.128"
1490,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1466,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1502,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
1502,"88.221.83.67,172.16.254.128"
1514,"88.221.83.67,172.16.254.128"
1490,"88.221.83.67,172.16.254.128"
1178,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
165,"216.58.208.238,172.16.254.128"
100,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
100,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
672,"172.16.254.128,216.58.208.238"
2604,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
60,"216.58.208.238,172.16.254.128"
60,"216.58.208.238,172.16.254.128"
66,"172.16.254.128,216.58.208.226"
66,"172.16.254.128,216.58.208.226"
990,"172.16.254.128,216.58.208.237"
60,"216.58.208.237,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
60,"93.184.220.188,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,93.184.220.188"
54,"172.16.254.128,216.58.208.226"
571,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
393,"172.16.254.128,93.184.220.188"
571,"172.16.254.128,216.58.208.226"
60,"93.184.220.188,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
1466,"216.58.208.237,172.16.254.128"
100,"172.16.254.128,216.58.208.237"
60,"216.58.208.237,172.16.254.128"
207,"216.58.208.226,172.16.254.128"
270,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
107,"172.16.254.128,216.58.208.226"
207,"216.58.208.226,172.16.254.128"
104,"172.16.254.128,216.58.208.226"
96,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
518,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
270,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
152,"216.58.208.226,172.16.254.128"
152,"216.58.208.226,172.16.254.128"
92,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
92,"216.58.208.226,172.16.254.128"
542,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
1502,"93.184.220.188,172.16.254.128"
1502,"93.184.220.188,172.16.254.128"
54,"172.16.254.128,93.184.220.188"
1502,"93.184.220.188,172.16.254.128"
1502,"93.184.220.188,172.16.254.128"
54,"172.16.254.128,93.184.220.188"
658,"93.184.220.188,172.16.254.128"
102,"216.58.208.238,172.16.254.128"
100,"172.16.254.128,216.58.208.226"
138,"216.58.208.238,172.16.254.128"
60,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
100,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
383,"173.194.42.215,172.16.254.128"
152,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
658,"93.184.220.188,172.16.254.128"
54,"172.16.254.128,93.184.220.188"
383,"173.194.42.215,172.16.254.128"
54,"172.16.254.128,173.194.42.215"
2725,"172.16.254.128,88.221.83.73"
60,"88.221.83.73,172.16.254.128"
60,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1490,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1514,"88.221.83.73,172.16.254.128"
1478,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
1502,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
1502,"88.221.83.73,172.16.254.128"
694,"88.221.83.73,172.16.254.128"
54,"172.16.254.128,88.221.83.73"
508,"172.16.254.128,216.58.208.237"
60,"216.58.208.237,172.16.254.128"
132,"216.58.208.237,172.16.254.128"
865,"216.58.208.237,172.16.254.128"
54,"172.16.254.128,216.58.208.237"
275,"216.58.208.237,172.16.254.128"
100,"172.16.254.128,216.58.208.237"
60,"216.58.208.237,172.16.254.128"
75,"172.16.254.128,8.8.8.8"
72,"172.16.254.128,8.8.8.8"
505,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
123,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,85.17.147.182"
161,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
784,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
249,"8.8.8.8,172.16.254.128"
60,"85.17.147.182,172.16.254.128"
54,"172.16.254.128,85.17.147.182"
66,"172.16.254.128,37.252.163.209"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
924,"172.16.254.128,85.17.147.182"
60,"85.17.147.182,172.16.254.128"
1514,"85.17.147.182,172.16.254.128"
169,"85.17.147.182,172.16.254.128"
60,"37.252.163.209,172.16.254.128"
54,"172.16.254.128,85.17.147.182"
54,"172.16.254.128,37.252.163.209"
495,"172.16.254.128,37.252.163.209"
60,"37.252.163.209,172.16.254.128"
60,"93.184.220.188,172.16.254.128"
54,"172.16.254.128,93.184.220.188"
811,"37.252.163.209,172.16.254.128"
533,"172.16.254.128,37.252.163.209"
60,"37.252.163.209,172.16.254.128"
887,"37.252.163.209,172.16.254.128"
535,"172.16.254.128,173.194.42.215"
60,"173.194.42.215,172.16.254.128"
66,"172.16.254.128,88.221.83.67"
66,"172.16.254.128,88.221.83.67"
435,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
60,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
571,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
60,"88.221.83.67,172.16.254.128"
54,"172.16.254.128,88.221.83.67"
571,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
180,"88.221.83.67,172.16.254.128"
101,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
180,"88.221.83.67,172.16.254.128"
101,"172.16.254.128,88.221.83.67"
60,"88.221.83.67,172.16.254.128"
99,"31.13.93.3,172.16.254.128"
887,"37.252.163.209,172.16.254.128"
54,"172.16.254.128,37.252.163.209"
99,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
1514,"31.13.93.3,172.16.254.128"
116,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
444,"172.16.254.128,54.230.78.45"
60,"54.230.78.45,172.16.254.128"
814,"54.230.78.45,172.16.254.128"
383,"173.194.42.215,172.16.254.128"
814,"54.230.78.45,172.16.254.128"
54,"172.16.254.128,54.230.78.45"
383,"173.194.42.215,172.16.254.128"
54,"172.16.254.128,173.194.42.215"
1081,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
559,"216.58.208.226,172.16.254.128"
559,"216.58.208.226,172.16.254.128"
54,"172.16.254.128,216.58.208.226"
60,"85.17.147.182,172.16.254.128"
54,"172.16.254.128,85.17.147.182"
55,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
55,"172.16.254.128,216.58.208.206"
60,"216.58.208.206,172.16.254.128"
42,"Vmware_b6:b5:48,Broadcast"
42,"Vmware_b6:b5:48,Broadcast"
42,"Vmware_b6:b5:48,Broadcast"
84,"172.16.254.128,8.8.8.8"
187,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
426,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1018,"54.231.10.92,172.16.254.128"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
66,"172.16.254.128,54.231.10.92"
66,"172.16.254.128,54.231.10.92"
66,"172.16.254.128,54.231.10.92"
66,"172.16.254.128,54.231.10.92"
66,"172.16.254.128,54.231.10.92"
76,"172.16.254.128,8.8.8.8"
116,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,31.13.93.3"
60,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
432,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
54,"172.16.254.128,54.231.10.92"
54,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
457,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
309,"54.231.10.92,172.16.254.128"
432,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
66,"172.16.254.128,31.13.93.3"
430,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
333,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
433,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
432,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
294,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1366,"54.231.10.92,172.16.254.128"
60,"31.13.93.3,172.16.254.128"
60,"31.13.93.3,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
314,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
54,"172.16.254.128,31.13.93.3"
54,"172.16.254.128,31.13.93.3"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
433,"172.16.254.128,54.231.10.92"
626,"172.16.254.128,31.13.93.3"
60,"54.231.10.92,172.16.254.128"
60,"31.13.93.3,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
173,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
1483,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
592,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
472,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
420,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
533,"31.13.93.3,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
66,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
274,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
363,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"31.13.93.3,172.16.254.128"
1514,"31.13.93.3,172.16.254.128"
400,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
438,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
245,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
111,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
99,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
538,"172.16.254.128,31.13.93.3"
60,"31.13.93.3,172.16.254.128"
533,"31.13.93.3,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
351,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
324,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
322,"54.231.10.92,172.16.254.128"
385,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
457,"172.16.254.128,54.231.10.92"
1514,"54.231.10.92,172.16.254.128"
313,"54.231.10.92,172.16.254.128"
60,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
99,"31.13.93.3,172.16.254.128"
54,"172.16.254.128,31.13.93.3"
1514,"54.231.10.92,172.16.254.128"
434,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
457,"172.16.254.128,54.231.10.92"
60,"54.231.10.92,172.16.254.128"
1514,"54.231.10.92,172.16.254.128"
286,"54.231.10.92,172.16.254.128"
54,"172.16.254.128,54.231.10.92"
